Address/City,Address/State,Address/Street,Address/Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
Washington,DC,3700 Georgia Avenue NW,20010,E05,38.93743463,GR,YL,,,-77.0234609,Georgia Avenue,,
Washington,DC,550 Galloway Street NE,20011,E06,38.95184677,GR,YL,,,-77.00220308,Fort Totten,B06,
Hyattsville,MD,2700 Hamilton St.,20782,E07,38.95504017,GR,,,,-76.96957668,West Hyattsville,,
Hyattsville,MD,3575 East West Highway,20782,E08,38.96538545,GR,,,,-76.95588151,Prince Georges Plaza,,
College Park,MD,4931 Calvert Road,20740,E09,38.97863363,GR,,,,-76.92812498,College Park,,
Greenbelt,MD,5717 Greenbelt Metro Drive,20740,E10,39.01114586,GR,,,,-76.91105757,Greenbelt,,
Washington,DC,630 H St. NW,20001,F01,38.89831681,GR,YL,,,-77.02191539,Gallery Place,B01,
Washington,DC,701 Pennsylvania Avenue NW,20004,F02,38.89366522,GR,YL,,,-77.02191439,Archives,,
Washington,DC,600 Maryland Avenue SW,20024,F03,38.88483773,GR,YL,,,-77.02190848,L'Enfant Plaza,D03,
Washington,DC,399 M Street SW,20024,F04,38.87646187,GR,,,,-77.01750521,Waterfront,,
Washington,DC,200 M Street SE,20003,F05,38.87648108,GR,,,,-77.00508565,Navy Yard,,
Washington,DC,1101 Howard Road SE,20020,F06,38.86296312,GR,,,,-76.99537074,Anacostia,,
Washington,DC,1290 Alabama Avenue SE,20020,F07,38.8456577,GR,,,,-76.98851193,Congress Height,,
Temple Hills,MD,1411 Southern Avenue,20748,F08,38.84108578,GR,,,,-76.97505414,Southern Ave,,
Temple Hills,MD,3101 Branch Avenue,20748,F09,38.85130138,GR,,,,-76.95626271,Naylor Road,,
Suitland,MD,4500 Silver Hill Road,20746,F10,38.84396455,GR,,,,-76.93187016,Suitland,,
Suitland,MD,4704 Old Soper Road,20746,F11,38.82644635,GR,,,,-76.91146422,Branch Avenue,,
Washington,DC,4500 Benning Road,20019,G01,38.89097568,BL,SV,,,-76.93836487,Benning Road,,
Capitol Heights,MD,133 Central Avenue,20743,G02,38.88946586,BL,SV,,,-76.91180811,Capitol Heights,,
Capitol Heights,MD,100 Addison Road S.,20743,G03,38.88674782,BL,SV,,,-76.89410791,Addison Road,,
Landover,MD,300 Garrett Morgan Blvd.,20785,G04,38.89383493,BL,SV,,,-76.86807477,Morgan Blvd,,
Largo,MD,Largo Town Center 9000 Lottsford Road,20774,G05,38.90506881,BL,SV,,,-76.84203752,Largo Town Center,,
Alexandria,VA,5690 Eisenhower Avenue,22310,J02,38.79930767,BL,,,,-77.12911152,Van Dorn St,,
Springfield,VA,6880 Frontier Drive,22150,J03,38.76652189,BL,,,,-77.16797018,Franconia-Springf'ld,,
Arlington,VA,2100 Wilson Blvd,22201,K01,38.89017553,OR,SV,,,-77.08713123,Court House,,
Arlington,VA,3100 Wilson Blvd,22201,K02,38.88670484,OR,SV,,,-77.0953941,Clarendon,,
Arlington,VA,3600 Fairfax Drive,22201,K03,38.88336615,OR,SV,,,-77.10297729,Virginia Square,,
Arlington,VA,4230 Fairfax Drive,22201,K04,38.88218287,OR,SV,,,-77.11316884,Ballston,,
Arlington,VA,2001 N. Sycamore St.,22205,K05,38.88595317,OR,SV,,,-77.15688302,E Falls Church,,
Falls Church,VA,7040 Haycock Road,22043,K06,38.90078055,OR,,,,-77.18909482,W Falls Church,,
Vienna,VA,2700 Gallows Road,22180,K07,38.88362514,OR,,,,-77.22716067,Dunn Loring,,
Fairfax,VA,9550 Saintsbury Drive,22031,K08,38.87760112,OR,,,,-77.27262226,Vienna,,
McLean,VA,1824 Dolley Madison Boulevard,22102,N01,38.924432,SV,,,,-77.210295,McLean,,
McLean,VA,1943 Chain Bridge Road,22102,N02,38.920496,SV,,,,-77.222262,Tysons Corner,,
Vienna,VA,8305 Leesburg Pike,22182,N03,38.921732,SV,,,,-77.234607,Greensboro,,
Vienna,VA,1576 Spring Hill Road,22182,N04,38.928872,SV,,,,-77.241472,Spring Hill,,
Reston,VA,1862 Wiehle Avenue,20190,N06,38.94778,SV,,,,-77.34027,Wiehle-Reston East,,
